time,q1,q2,q3,q4,q5,q6,q7
0.1,0.5,-0.7854,0,1.3962,0,0.6109,0
0.2,0.5,-0.7854,0,1.3962,0,0.6109,0
0.3,0.500004,-0.787611,-1.13723e-06,1.39703,5.54083e-06,0.615019,-3.69787e-06
0.4,0.500021,-0.790931,-5.68613e-06,1.39788,2.77041e-05,0.619129,-1.84894e-05
0.5,0.500124,-0.797278,-3.26404e-05,1.39956,0.000164822,0.627044,-0.00011022
0.6,0.50019,-0.800386,-4.96757e-05,1.4004,0.000252337,0.630936,-0.000168777
0.7,0.50029,-0.803287,-7.41507e-05,1.40122,0.000385376,0.634593,-0.000257764
0.8,0.500607,-0.808628,-0.000148574,1.4029,0.000806916,0.64152,-0.000540016
0.9,0.500785,-0.811222,-0.000189798,1.40376,0.00104314,0.644921,-0.000698215
1,0.500995,-0.813616,-0.000235905,1.4046,0.00132239,0.648115,-0.000885057
1.1,0.501241,-0.815864,-0.000288553,1.40548,0.00164964,0.651192,-0.00110411
1.2,0.501523,-0.817969,-0.000347235,1.40638,0.00202365,0.65416,-0.00135455
1.3,0.502154,-0.8219,-0.00047564,1.40826,0.00286266,0.659883,-0.0019165
1.4,0.502503,-0.823728,-0.000544895,1.40923,0.00332642,0.662641,-0.00222718
1.5,0.502877,-0.82538,-0.000615229,1.4102,0.00382236,0.66523,-0.00255919
1.6,0.503282,-0.826901,-0.000689726,1.41121,0.0043603,0.667723,-0.00291946
1.7,0.504184,-0.829558,-0.000850097,1.41333,0.00555854,0.672439,-0.00372239
1.8,0.504651,-0.830824,-0.000932074,1.41441,0.00617772,0.674752,-0.00413737
1.9,0.505136,-0.831939,-0.00101327,1.41549,0.00682047,0.676925,-0.00456788
2,0.505649,-0.832934,-0.00109748,1.41662,0.00750148,0.679015,-0.00502425
2.1,0.506191,-0.83381,-0.00118456,1.41778,0.00822014,0.681027,-0.00550609
2.2,0.506761,-0.83457,-0.00127431,1.41898,0.00897558,0.682962,-0.00601283
2.3,0.507982,-0.835754,-0.00146105,1.42149,0.0105934,0.68661,-0.00709886
2.4,0.508605,-0.83629,-0.00155557,1.42276,0.0114199,0.688399,-0.00765379
