time,q1_dot,q2_dot,q3_dot,q4_dot,q5_dot,q6_dot,q7_dot
0.1,0.000835767,-0.66965,-0.000227445,0.16626,0.00110817,0.823857,-0.000739575
0.2,0.00334307,-0.664102,-0.000909781,0.169819,0.00443266,0.821903,-0.0029583
0.3,0.00747499,-0.647588,-0.0019838,0.168669,0.00992068,0.804501,-0.00663464
0.4,0.0131791,-0.621726,-0.00340705,0.168086,0.017503,0.778447,-0.0117114
0.5,0.0200347,-0.580109,-0.004895,0.162081,0.0266078,0.731524,-0.0177975
0.6,0.0278839,-0.549168,-0.0066399,0.166237,0.0370624,0.705146,-0.0248103
0.7,0.0355317,-0.518945,-0.00824482,0.171083,0.0472457,0.680157,-0.03164
0.8,0.04204,-0.478772,-0.00922127,0.169248,0.0558496,0.63878,-0.0373682
0.9,0.0492503,-0.449531,-0.0105296,0.174901,0.0654487,0.61556,-0.0438104
1,0.0562816,-0.421033,-0.0117364,0.181032,0.0748033,0.593547,-0.0500889
1.1,0.0631248,-0.39307,-0.0128406,0.187378,0.0839007,0.572277,-0.0561945
1.2,0.0697881,-0.365636,-0.013851,0.193903,0.0927518,0.551709,-0.0621356
1.3,0.0747131,-0.330537,-0.0140667,0.194537,0.0991882,0.517795,-0.0664036
1.4,0.0810378,-0.304101,-0.0148995,0.201446,0.107588,0.498599,-0.072054
1.5,0.0872358,-0.278359,-0.0156789,0.208621,0.115814,0.480353,-0.077592
1.6,0.0932832,-0.253137,-0.0163954,0.215863,0.123835,0.462692,-0.0829943
1.7,0.0969634,-0.223062,-0.0162388,0.21736,0.128551,0.434611,-0.0861035
1.8,0.102732,-0.198823,-0.0168423,0.224733,0.136202,0.418061,-0.0912734
1.9,0.10841,-0.175202,-0.0174168,0.232256,0.143732,0.40227,-0.0963675
2,0.113961,-0.152078,-0.0179494,0.23976,0.151087,0.386958,-0.101348
2.1,0.119387,-0.129443,-0.0184438,0.247227,0.158274,0.372097,-0.106219
2.2,0.124695,-0.10729,-0.0189039,0.254644,0.165299,0.357668,-0.110986
2.3,0.127022,-0.0832936,-0.0184789,0.256016,0.16818,0.335506,-0.11289
2.4,0.132114,-0.0620658,-0.0188841,0.263326,0.174926,0.321897,-0.117488
2.5,0.137157,-0.0413517,-0.0192828,0.270688,0.181607,0.308852,-0.12205
2.6,0.142097,-0.021094,-0.0196598,0.277951,0.188151,0.296167,-0.126524
2.7,0.146938,-0.00128442,-0.0200175,0.285105,0.194561,0.283821,-0.130913
2.8,0.148387,0.0181103,-0.0195292,0.285744,0.196278,0.265514,-0.132071
2.9,0.15305,0.0370569,-0.0198608,0.292665,0.202463,0.253805,-0.136329
3,0.157688,0.0555755,-0.0201966,0.299596,0.208619,0.242533,-0.140574
3.1,0.162241,0.0736742,-0.0205213,0.306389,0.214661,0.231545,-0.144748
3.2,0.163131,0.0897284,-0.0200504,0.306241,0.215659,0.215788,-0.14546
3.3,0.167528,0.107016,-0.020364,0.312734,0.221508,0.205319,-0.149524
3.4,0.171918,0.123942,-0.020687,0.319221,0.227352,0.195208,-0.153593
3.5,0.176231,0.140476,-0.0210047,0.325548,0.233095,0.185332,-0.157599
3.6,0.180468,0.156626,-0.0213183,0.33171,0.23874,0.175679,-0.161546
3.7,0.180728,0.168895,-0.0208954,0.330325,0.238935,0.162473,-0.161764
3.8,0.184834,0.1843,-0.0212111,0.336137,0.244422,0.153223,-0.165627
3.9,0.18895,0.199419,-0.0215408,0.34194,0.249928,0.144254,-0.16951
4,0.193001,0.214182,-0.0218706,0.34757,0.25535,0.135473,-0.173343
4.1,0.196986,0.228594,-0.0222014,0.353023,0.260688,0.126871,-0.177128
4.2,0.200908,0.242661,-0.022534,0.358298,0.265946,0.118439,-0.180866
4.3,0.200587,0.251236,-0.0221959,0.355412,0.265434,0.107438,-0.180676
4.4,0.204401,0.264636,-0.0225408,0.36031,0.270568,0.099309,-0.184354
4.5,0.208241,0.277826,-0.0229032,0.365209,0.275745,0.0913938,-0.18807
4.6,0.212027,0.290699,-0.0232703,0.369931,0.280853,0.0836244,-0.191748
4.7,0.21131,0.296655,-0.0230146,0.365969,0.279857,0.0741708,-0.191273
4.8,0.214997,0.308905,-0.0233982,0.370306,0.284856,0.066651,-0.194904
4.9,0.218722,0.321003,-0.0238006,0.374659,0.289914,0.0593041,-0.198583
5,0.222397,0.332805,-0.0242096,0.378836,0.294911,0.0520812,-0.202229
5.1,0.226022,0.344315,-0.0246256,0.382832,0.299846,0.0449766,-0.205845
5.2,0.22492,0.347667,-0.0244662,0.377663,0.298402,0.0369307,-0.205133
5.3,0.228459,0.358609,-0.0249025,0.381276,0.303248,0.0300255,-0.208715
5.4,0.232047,0.369454,-0.0253589,0.384925,0.308167,0.0232564,-0.212357
5.5,0.23559,0.38003,-0.025824,0.388401,0.313033,0.0165903,-0.215974
5.6,0.23426,0.38161,-0.0257478,0.382429,0.311343,0.00952141,-0.215153
5.7,0.237724,0.391655,-0.0262351,0.385529,0.316131,0.00302426,-0.218746
5.8,0.241245,0.401642,-0.026743,0.388678,0.321,-0.00336045,-0.222406
5.9,0.244724,0.411378,-0.0272608,0.39166,0.325823,-0.00965529,-0.226046
6,0.248163,0.420865,-0.0277886,0.39447,0.330598,-0.0158641,-0.229666
6.1,0.246533,0.420386,-0.0278071,0.387488,0.328581,-0.0218711,-0.228699
6.2,0.249901,0.429385,-0.0283591,0.389936,0.333291,-0.0279409,-0.232306
6.3,0.253334,0.438371,-0.0289327,0.392453,0.338096,-0.0339225,-0.23599
6.4,0.25673,0.447128,-0.0295174,0.39481,0.34286,-0.0398271,-0.23966
6.5,0.254931,0.445286,-0.0296126,0.387209,0.340678,-0.0450802,-0.238645
6.6,0.258262,0.453585,-0.0302225,0.389215,0.345385,-0.0508633,-0.24231
6.7,0.261663,0.461902,-0.0308544,0.391303,0.350193,-0.0565742,-0.246057
6.8,0.259799,0.459259,-0.031008,0.383415,0.347976,-0.0613107,-0.245068
6.9,0.263139,0.467141,-0.0316655,0.385165,0.352732,-0.0669093,-0.248815
7,0.266551,0.475057,-0.0323454,0.387003,0.357593,-0.072446,-0.252647
7.1,0.26993,0.482767,-0.0330376,0.388692,0.362421,-0.0779176,-0.256471
7.2,0.230005,0.400308,-0.0295795,0.311834,0.309547,-0.0724058,-0.221105
7.3,0.153015,0.249737,-0.0212172,0.183313,0.207196,-0.0530631,-0.150607
7.4,0.102724,0.160587,-0.0149896,0.11184,0.139992,-0.0385091,-0.10315
7.5,0.0717633,0.109949,-0.0109169,0.0726263,0.098444,-0.0295352,-0.0733445
7.6,0.0530429,0.0811795,-0.00840238,0.0505636,0.0732864,-0.0245008,-0.0551564
7.7,0.041838,0.0647843,-0.00690469,0.0378936,0.0582471,-0.0218361,-0.044263
7.8,0.0351824,0.0554077,-0.00603976,0.0304952,0.0493476,-0.0204978,-0.0378373
7.9,0.0312602,0.0500218,-0.00555961,0.0261013,0.0441392,-0.0198731,-0.0341104
8,0.0289738,0.0469089,-0.00531097,0.0234356,0.0411392,-0.0196222,-0.0320023
8.1,0.0269933,0.0439372,-0.00507874,0.0211729,0.038505,-0.0190908,-0.0301218
8.2,0.0265115,0.0433149,-0.00509667,0.0203163,0.0379572,-0.0193192,-0.0298302
8.3,0.0263035,0.0429634,-0.00515083,0.0197203,0.0377721,-0.019527,-0.0298008
8.4,0.0262299,0.042717,-0.00522218,0.0192414,0.0377644,-0.0197073,-0.029899
8.5,0.0256865,0.0415486,-0.00519215,0.0184002,0.0370658,-0.0193966,-0.0294394
8.6,0.0259571,0.041802,-0.00532297,0.0182343,0.0375387,-0.0197177,-0.0299071
8.7,0.0261956,0.041944,-0.00544555,0.0180341,0.0379618,-0.0199656,-0.0303333
8.8,0.0263962,0.0419854,-0.00555967,0.0177974,0.0383292,-0.0201539,-0.0307144
8.9,0.026017,0.0409961,-0.00555022,0.0171191,0.0378522,-0.0198396,-0.0304174
9,0.0263812,0.0413286,-0.00570045,0.0170148,0.0384614,-0.02016,-0.0309963
9.1,0.0266771,0.0415133,-0.00583631,0.0168486,0.0389718,-0.0204031,-0.0314966
9.2,0.0263509,0.0406141,-0.00583459,0.0162348,0.038571,-0.0201065,-0.031259
9.3,0.0267534,0.0409883,-0.00599659,0.0161454,0.0392436,-0.0204424,-0.0318959
9.4,0.0265109,0.0402434,-0.00601229,0.0156043,0.0389674,-0.0202138,-0.0317598
9.5,0.0269652,0.0406939,-0.00618857,0.0155434,0.0397218,-0.0205855,-0.0324684
9.6,0.0273181,0.0409423,-0.00634201,0.0153998,0.0403279,-0.0208522,-0.0330572
9.7,0.0275913,0.04104,-0.00647768,0.0151947,0.0408187,-0.0210411,-0.0335532
9.8,0.027816,0.0410509,-0.00660287,0.0149545,0.0412403,-0.0211845,-0.0339945
9.9,0.0274328,0.0400594,-0.00658221,0.0143296,0.0407602,-0.0208145,-0.0336916
10,0.0278165,0.0403682,-0.00674885,0.014206,0.0414263,-0.0211083,-0.0343416
10.1,0.0281289,0.0405342,-0.00689839,0.0140262,0.041988,-0.0213257,-0.0349064
10.2,0.0283797,0.0405831,-0.00703313,0.0138006,0.0424599,-0.0214809,-0.0353982
10.3,0.0285924,0.040564,-0.00715908,0.0135489,0.0428779,-0.021599,-0.0358471
10.4,0.0281911,0.0395633,-0.00712893,0.0129444,0.0423748,-0.0212012,-0.0355243
10.5,0.0285757,0.0398551,-0.00730156,0.0128086,0.0430597,-0.0214786,-0.0362037
10.6,0.028891,0.0400086,-0.00745621,0.0126208,0.043642,-0.0216806,-0.0367979
10.7,0.0285481,0.0391176,-0.00743732,0.0120756,0.0432287,-0.0213214,-0.0365497
10.8,0.0289741,0.0394583,-0.00762358,0.0119517,0.0439874,-0.0216207,-0.0372993
