time,q1,q2,q3,q4,q5,q6,q7
0.1,0.5,-0.7854,0,1.3962,0,0.6109,0
0.2,0.5,-0.7854,0,1.3962,0,0.6109,0
0.3,0.500084,-0.790923,-2.52216e-05,1.39837,0.000115177,0.619832,-7.65174e-05
0.4,0.500143,-0.794267,-4.3025e-05,1.39948,0.000196479,0.624287,-0.00013053
0.5,0.500395,-0.8004,-0.000113344,1.40163,0.000542363,0.632554,-0.0003608
0.6,0.500547,-0.803378,-0.000155214,1.40271,0.000750604,0.636609,-0.000499493
0.7,0.500753,-0.806104,-0.000208913,1.40378,0.00103343,0.640395,-0.000687832
0.8,0.501002,-0.808669,-0.000272055,1.40487,0.00137532,0.644041,-0.000915637
0.9,0.501292,-0.811078,-0.000343688,1.40598,0.00177378,0.647554,-0.0011812
1,0.501622,-0.813333,-0.000422991,1.40711,0.00222684,0.650941,-0.00148322
1.1,0.50199,-0.815436,-0.000509226,1.40828,0.00273265,0.654204,-0.00182044
1.2,0.502838,-0.819202,-0.000699895,1.4107,0.00389562,0.66038,-0.00259595
1.3,0.503281,-0.821012,-0.000798062,1.41193,0.00450179,0.663411,-0.0030002
1.4,0.503745,-0.822643,-0.000895676,1.41314,0.00513729,0.666252,-0.00342356
1.5,0.504243,-0.824134,-0.000997873,1.41439,0.00581919,0.668985,-0.00387801
1.6,0.504775,-0.825489,-0.00110438,1.41567,0.00654655,0.671618,-0.00436295
1.7,0.50534,-0.82671,-0.00121479,1.41699,0.00731804,0.674154,-0.00487752
1.8,0.505935,-0.827801,-0.00132878,1.41835,0.00813241,0.676596,-0.0054209
1.9,0.506562,-0.828763,-0.00144601,1.41974,0.00898844,0.678946,-0.00599231
2,0.507904,-0.830315,-0.00168911,1.42263,0.010821,0.683385,-0.00721634
2.1,0.508589,-0.831029,-0.00181201,1.4241,0.011757,0.685561,-0.00784165
2.2,0.509285,-0.831611,-0.00193115,1.42555,0.0127051,0.687599,-0.00847467
2.3,0.510008,-0.832076,-0.0020526,1.42705,0.0136907,0.689556,-0.00913318
2.4,0.510759,-0.832426,-0.00217634,1.42858,0.0147136,0.691436,-0.00981704
