time,q1_dot,q2_dot,q3_dot,q4_dot,q5_dot,q6_dot,q7_dot
0.1,0.00493523,-0.683008,-0.00148362,0.21229,0.00677513,0.895297,-0.00450102
0.2,0.0118445,-0.668763,-0.00356069,0.222338,0.0162603,0.891101,-0.0108025
0.3,0.0200554,-0.630947,-0.0056899,0.21271,0.0275286,0.842422,-0.0183152
0.4,0.0303177,-0.595673,-0.00837396,0.216472,0.0416483,0.810911,-0.0277387
0.5,0.0412022,-0.545257,-0.0107397,0.213198,0.056565,0.75724,-0.0376677
0.6,0.0497949,-0.513022,-0.0126286,0.217311,0.0683783,0.72913,-0.045561
0.7,0.0580412,-0.48169,-0.0143265,0.222214,0.0796923,0.702717,-0.0531136
0.8,0.0660104,-0.450922,-0.0158606,0.227517,0.0906117,0.677272,-0.0604022
0.9,0.0737197,-0.420718,-0.017247,0.233159,0.101161,0.652733,-0.0674444
1,0.0811839,-0.39108,-0.0185002,0.239092,0.111362,0.629055,-0.0742551
1.1,0.0884167,-0.362009,-0.0196335,0.245274,0.121233,0.6062,-0.0808482
1.2,0.0928868,-0.326274,-0.0195227,0.242756,0.1271,0.568015,-0.0846732
1.3,0.0996947,-0.298269,-0.0204394,0.249453,0.136381,0.546752,-0.09089
1.4,0.106366,-0.270969,-0.0213005,0.256568,0.145472,0.52662,-0.0969884
1.5,0.112852,-0.244239,-0.0220837,0.263777,0.154299,0.507158,-0.102914
1.6,0.119159,-0.218074,-0.0227965,0.271043,0.162872,0.488323,-0.108676
1.7,0.125297,-0.192468,-0.0234459,0.27834,0.171207,0.470087,-0.114282
1.8,0.131274,-0.167418,-0.0240388,0.285642,0.179313,0.452419,-0.119742
1.9,0.137098,-0.142917,-0.0245811,0.29293,0.187204,0.435293,-0.125063
2,0.139111,-0.11635,-0.0238275,0.291578,0.189601,0.407525,-0.126603
2.1,0.144663,-0.0928965,-0.02429,0.298831,0.197125,0.391428,-0.131703
2.2,0.150166,-0.0700169,-0.0247493,0.306255,0.204587,0.376084,-0.136772
2.3,0.155541,-0.0476643,-0.0251769,0.313588,0.211871,0.361184,-0.141728
2.4,0.160793,-0.0258307,-0.025576,0.320809,0.218983,0.346699,-0.146576
2.5,0.165926,-0.00450836,-0.0259503,0.327906,0.225931,0.332611,-0.15132
2.6,0.170947,0.0163106,-0.0263031,0.334868,0.232723,0.318899,-0.155968
2.7,0.17586,0.0366343,-0.0266376,0.341686,0.239367,0.305546,-0.160524
2.8,0.176208,0.0549913,-0.0257743,0.339022,0.239497,0.284764,-0.160621
2.9,0.180934,0.0743642,-0.02609,0.345535,0.245904,0.272077,-0.165044
3,0.185667,0.0933161,-0.0264241,0.352132,0.252329,0.259902,-0.169492
3.1,0.190308,0.111804,-0.0267491,0.358553,0.25863,0.248024,-0.173864
3.2,0.194859,0.129836,-0.0270662,0.364788,0.26481,0.236425,-0.178163
3.3,0.199323,0.147419,-0.0273774,0.370831,0.270874,0.225091,-0.182394
3.4,0.203705,0.164563,-0.0276847,0.376679,0.276828,0.214012,-0.186559
3.5,0.208007,0.181275,-0.0279898,0.382329,0.282678,0.203174,-0.190664
3.6,0.141885,0.130026,-0.0152067,0.244608,0.19044,0.117561,-0.128084
3.7,0.0873795,0.0887214,-0.00779717,0.140817,0.116736,0.0546748,-0.0786834
3.8,0.0568027,0.067737,-0.00473945,0.0874466,0.0761426,0.0216291,-0.0517576
3.9,0.0402863,0.0571108,-0.00341139,0.06017,0.0544302,0.00450369,-0.0374603
4,0.0304823,0.0501875,-0.00272536,0.044462,0.041584,-0.0045925,-0.0290117
4.1,0.0262687,0.0479096,-0.00250897,0.0376305,0.0361559,-0.00925141,-0.0255186
4.2,0.0241325,0.0467501,-0.00244533,0.0339976,0.0334454,-0.0117479,-0.0238112
4.3,0.023665,0.047281,-0.00252013,0.032828,0.0329623,-0.0133959,-0.023611
4.4,0.022891,0.0464262,-0.00254238,0.0312155,0.0320047,-0.0141221,-0.0230337
4.5,0.0225069,0.0458553,-0.0025926,0.0301792,0.031558,-0.0145398,-0.0227956
4.6,0.0223731,0.0455238,-0.00266234,0.0295093,0.0314427,-0.0148198,-0.022781
4.7,0.0223758,0.0453296,-0.00274228,0.0290454,0.0315069,-0.0150258,-0.0228876
4.8,0.0224396,0.0451943,-0.00282697,0.0286639,0.0316522,-0.0152068,-0.0230501
4.9,0.0225355,0.0450863,-0.00291459,0.0283146,0.0318407,-0.0153821,-0.0232436
5,0.0226491,0.0449963,-0.00300344,0.027992,0.0320524,-0.0155487,-0.0234537
5.1,0.0227717,0.0449155,-0.00309289,0.0276838,0.0322759,-0.0157108,-0.023673
5.2,0.0223328,0.0437139,-0.00310618,0.0266747,0.0317032,-0.0154929,-0.0233105
5.3,0.0226994,0.0441213,-0.003227,0.0266927,0.0322707,-0.015802,-0.0237822
5.4,0.0229815,0.0443528,-0.00333726,0.0265939,0.0327194,-0.0160582,-0.024169
5.5,0.0226297,0.0433372,-0.00335819,0.0257196,0.0322683,-0.0158902,-0.0238957
5.6,0.0230435,0.0438217,-0.00348814,0.0257761,0.0329056,-0.0162345,-0.0244243
5.7,0.0233514,0.0440922,-0.00360416,0.0256957,0.0333935,-0.0165096,-0.0248452
5.8,0.023579,0.0442023,-0.00370943,0.025514,0.0337684,-0.0167314,-0.0251846
5.9,0.0237631,0.0442255,-0.00380902,0.0252787,0.0340824,-0.0169233,-0.0254808
6,0.0239243,0.0442027,-0.00390584,0.0250155,0.0343648,-0.0170985,-0.0257552
6.1,0.0240738,0.0441554,-0.00400151,0.0247382,0.0346314,-0.0172642,-0.0260195
6.2,0.0242173,0.044095,-0.00409692,0.0244536,0.0348906,-0.0174244,-0.0262799
6.3,0.0243581,0.0440275,-0.0041926,0.0241652,0.035147,-0.017581,-0.0265399
6.4,0.0244978,0.0439559,-0.00428882,0.023875,0.0354032,-0.0177352,-0.0268013
